Day,Month,Airline,flightclass,capacity,timediff,night1,season,delayed
3,4,2,INT,151,23,0,Summer,1
3,4,2,INT,107,63,0,Summer,1
0,4,2,INT,189,91,0,Summer,1
3,4,2,INT,178,84,0,Summer,1
0,4,2,INT,18,50,0,Summer,0
3,4,2,INT,133,54,0,Summer,1
0,4,2,INT,155,27,0,Summer,1
3,4,2,INT,163,208,0,Summer,1
0,1,2,INT,203,41,0,Summer,1
3,1,2,INT,56,-2,0,Summer,1
3,1,2,INT,178,102,0,Summer,1
5,1,2,INT,15,-106,0,Summer,0
0,1,2,INT,75,-8,0,Summer,1
3,1,2,INT,32,53,0,Summer,1
0,1,2,INT,95,28,0,Summer,1
3,1,2,INT,56,53,0,Summer,1
5,1,2,INT,44,133,0,Summer,1
0,1,2,INT,82,32,0,Summer,1
3,1,2,INT,47,63,0,Summer,1
1,1,2,INT,13,178,0,Summer,1
0,10,2,INT,36,44,0,Summer,0
3,10,2,INT,45,49,0,Summer,0
0,10,2,INT,75,68,0,Summer,1
3,10,2,INT,34,111,0,Summer,1
5,10,2,INT,57,35,0,Summer,1
6,10,2,INT,10,97,0,Summer,1
3,10,2,INT,38,138,0,Summer,1
5,10,2,INT,41,13,0,Summer,0
3,10,2,INT,79,130,0,Summer,1
5,10,2,INT,61,32,0,Summer,1
0,10,2,INT,84,39,0,Summer,1
2,10,2,INT,20,185,0,Summer,1
2,0,3,INT,56,10,0,Summer,1
0,7,3,INT,12,-6,0,Summer,0
4,1,3,INT,44,1,0,Summer,0
2,10,3,INT,39,5,0,Summer,0
1,6,4,DOM,24,5,0,Summer,0
5,6,4,DOM,47,-6,0,Summer,0
6,6,4,DOM,35,21,0,Summer,0
4,6,4,DOM,44,-4,0,Summer,0
0,6,4,DOM,47,9,0,Summer,0
2,0,4,DOM,27,12,0,Summer,0
3,0,4,DOM,49,-61,0,Summer,0
1,0,4,DOM,30,5,0,Summer,0
5,0,4,DOM,0,16,0,Summer,0
6,0,4,DOM,45,11,0,Summer,0
4,0,4,DOM,49,13,0,Summer,0
0,0,4,DOM,50,19,0,Summer,0
2,0,4,DOM,52,-3,0,Summer,1
1,0,4,DOM,42,-5,0,Summer,0
5,0,4,DOM,46,15,0,Summer,0
6,0,4,DOM,54,2,0,Summer,1
4,0,4,DOM,51,1,0,Summer,1
0,0,4,DOM,50,25,0,Summer,0
2,0,4,DOM,39,0,0,Summer,0
3,0,4,DOM,28,7,0,Summer,0
1,0,4,DOM,0,30,0,Summer,0
5,0,4,DOM,45,32,0,Summer,0
6,0,4,DOM,51,48,0,Summer,1
0,0,4,DOM,41,89,0,Summer,1
2,0,4,DOM,43,-1,0,Summer,0
3,0,4,DOM,49,1,0,Summer,0
1,0,4,DOM,43,8,0,Summer,0
5,0,4,DOM,47,11,0,Summer,0
6,0,4,DOM,45,12,0,Summer,0
4,0,4,DOM,51,14,0,Summer,1
0,0,4,DOM,49,14,0,Summer,0
2,0,4,DOM,50,22,0,Summer,0
3,0,4,DOM,42,11,0,Summer,0
1,7,4,DOM,50,36,0,Summer,0
5,7,4,DOM,36,1,0,Summer,0
6,7,4,DOM,27,4,0,Summer,0
4,7,4,DOM,27,14,0,Summer,0
0,7,4,DOM,44,117,0,Summer,1
2,7,4,DOM,32,-2,0,Summer,0
3,7,4,DOM,46,-2,0,Summer,0
1,7,4,DOM,28,0,0,Summer,0
5,7,4,DOM,41,6,0,Summer,0
6,7,4,DOM,39,0,0,Summer,0
4,7,4,DOM,44,-5,0,Summer,0
0,7,4,DOM,46,3,0,Summer,0
2,7,4,DOM,41,-5,0,Summer,0
1,7,4,DOM,50,-6,0,Summer,0
5,7,4,DOM,46,0,0,Summer,0
6,7,4,DOM,46,-7,0,Summer,0
4,7,4,DOM,58,4,0,Summer,1
0,7,4,DOM,49,13,0,Summer,0
2,7,4,DOM,33,13,0,Summer,0
3,7,4,DOM,50,130,0,Summer,1
1,7,4,DOM,49,-61,0,Summer,0
5,7,4,DOM,0,64,0,Summer,1
3,7,4,DOM,48,115,0,Summer,1
1,7,4,DOM,31,-8,0,Summer,0
5,7,4,DOM,49,3,0,Summer,0
0,5,4,DOM,38,3,0,Summer,0
2,5,4,DOM,0,11,0,Summer,0
3,5,4,DOM,0,152,0,Summer,1
1,5,4,DOM,36,0,0,Summer,0
5,5,4,DOM,0,3,0,Summer,0
6,5,4,DOM,39,-7,0,Summer,0
4,5,4,DOM,26,-4,0,Summer,0
0,5,4,DOM,50,9,0,Summer,0
2,5,4,DOM,0,6,0,Summer,0
3,5,4,DOM,16,8,0,Summer,0
1,5,4,DOM,25,8,0,Summer,0
5,5,4,DOM,36,11,0,Summer,0
6,5,4,DOM,35,9,0,Summer,0
4,5,4,DOM,44,14,0,Summer,0
0,5,4,DOM,51,14,0,Summer,1
2,5,4,DOM,48,5,0,Summer,0
3,5,4,DOM,48,12,0,Summer,0
5,5,4,DOM,48,6,0,Summer,0
6,5,4,DOM,46,16,0,Summer,0
4,5,4,DOM,50,10,0,Summer,0
0,5,4,DOM,51,16,0,Summer,1
2,5,4,DOM,0,0,0,Summer,0
2,5,4,DOM,52,2,0,Summer,1
3,5,4,DOM,33,0,0,Summer,0
1,5,4,DOM,48,-3,0,Summer,0
5,5,4,DOM,44,13,0,Summer,0
6,5,4,DOM,47,35,0,Summer,0
4,5,4,DOM,45,123,0,Summer,1
0,5,4,DOM,43,0,0,Summer,0
2,4,4,DOM,47,35,0,Summer,0
3,4,4,DOM,30,0,0,Summer,0
1,4,4,DOM,33,9,0,Summer,0
5,4,4,DOM,48,1,0,Summer,0
6,4,4,DOM,46,2,0,Summer,0
4,4,4,DOM,42,10,0,Summer,0
0,4,4,DOM,48,14,0,Summer,0
2,4,4,DOM,40,2,0,Summer,0
3,4,4,DOM,47,75,0,Summer,1
1,4,4,DOM,44,48,0,Summer,0
5,4,4,DOM,43,70,0,Summer,1
6,4,4,DOM,50,64,0,Summer,1
4,4,4,DOM,50,53,0,Summer,1
0,4,4,DOM,50,33,0,Summer,0
2,4,4,DOM,38,46,0,Summer,0
3,4,4,DOM,40,9,0,Summer,0
1,4,4,DOM,36,-61,0,Summer,0
5,4,4,DOM,30,20,0,Summer,0
6,4,4,DOM,38,10,0,Summer,0
4,4,4,DOM,44,114,0,Summer,1
0,4,4,DOM,45,35,0,Summer,0
2,4,4,DOM,40,0,0,Summer,0
3,4,4,DOM,39,-10,0,Summer,0
1,4,4,DOM,33,11,0,Summer,0
5,4,4,DOM,39,39,0,Summer,0
4,4,4,DOM,50,62,0,Summer,1
0,4,4,DOM,50,24,0,Summer,0
3,4,4,DOM,34,10,0,Summer,0
1,4,4,DOM,18,52,0,Summer,1
5,1,4,DOM,46,35,0,Summer,0
6,1,4,DOM,30,6,0,Summer,0
4,1,4,DOM,41,45,0,Summer,0
0,1,4,DOM,36,-2,0,Summer,0
2,1,4,DOM,40,42,0,Summer,0
3,1,4,DOM,27,10,0,Summer,0
1,1,4,DOM,36,37,0,Summer,0
5,1,4,DOM,41,-8,0,Summer,0
6,1,4,DOM,28,11,0,Summer,0
4,1,4,DOM,53,4,0,Summer,1
0,1,4,DOM,34,-9,0,Summer,0
2,1,4,DOM,30,-2,0,Summer,0
3,1,4,DOM,33,30,0,Summer,0
1,1,4,DOM,44,0,0,Summer,0
5,1,4,DOM,46,32,0,Summer,0
6,1,4,DOM,50,47,0,Summer,0
4,1,4,DOM,47,7,0,Summer,0
0,1,4,DOM,36,84,0,Summer,1
2,1,4,DOM,33,3,0,Summer,0
3,1,4,DOM,45,3,0,Summer,0
1,1,4,DOM,39,48,0,Summer,0
5,1,4,DOM,39,8,0,Summer,0
6,1,4,DOM,53,47,0,Summer,1
4,1,4,DOM,47,12,0,Summer,0
0,1,4,DOM,49,31,0,Summer,0
2,1,4,DOM,32,-2,0,Summer,0
3,1,4,DOM,35,65,0,Summer,1
1,1,4,DOM,45,15,0,Summer,0
5,1,4,DOM,38,0,0,Summer,0
6,1,4,DOM,35,1,0,Summer,0
4,1,4,DOM,0,3,0,Summer,0
0,10,4,DOM,39,11,0,Summer,0
2,10,4,DOM,31,0,0,Summer,0
3,10,4,DOM,39,0,0,Summer,0
1,10,4,DOM,37,8,0,Summer,0
5,10,4,DOM,28,25,0,Summer,0
6,10,4,DOM,22,-10,0,Summer,0
4,10,4,DOM,30,28,0,Summer,0
0,10,4,DOM,39,32,0,Summer,0
2,10,4,DOM,43,2,0,Summer,0
3,10,4,DOM,52,3,0,Summer,1
1,10,4,DOM,36,69,0,Summer,1
5,10,4,DOM,47,13,0,Summer,0
6,10,4,DOM,27,40,0,Summer,0
4,10,4,DOM,36,3,0,Summer,0
0,10,4,DOM,47,17,0,Summer,0
2,10,4,DOM,26,53,0,Summer,1
3,10,4,DOM,41,8,0,Summer,0
1,10,4,DOM,48,13,0,Summer,0
5,10,4,DOM,44,42,0,Summer,0
